name,category_id
Bread - tin loaf,1
Ciabatta,1
Granary batons,1
Rolls - white round,1
Hotdog roll,1
Butter - salted,2
Butter - unsalted,2
Cream - double,2
Milk - full fat,2
Milk - semi-skimmed,2
Halloumi,2
Cabbage - white,3
Leeks,3
Carrots,3
Pepper - red - bell,3
Pepper - green - bell,3
Onion - spring,3
Celery,3
Onion - white,3
Parsley - curly,3
Parsley - flat leaf,3
Corriander,3
Onion - red,3
Rocket,3
Bacon - smoked back,4
Beef brisket,4
Pork shoulder,4
Pork ribs,4
Chicken Leg Thigh,4
Lamb shoulder,4
Lamb leg,4
Chicken Breast,4
Texas Hot Links,10
Turkey,4
Duck,4
Macaroni,5
Flour - self-raising,5
Flour - plain,5
Cornmeal,5
Sugar - Molasses,5
Sugar - Muscovado,5
Stockcubes - lamb,5
Sugar - granulated,5
Garlic - granules,5
Garlic - powder,5
Corriander - ground,5
Cumin - ground,5
Black Pepper - cracked,5
Salt - cooking,5
Paprika - smoked,5
Mixed spices,5
Turmeric - ground,5
Chilli - powder,5
Stockcubes - chicken,5
Lamb Gravy/Stock,6
Beans - borlotti,6
Beans - pinto,6
Beans - black eyed,6
Passata,6
Tomato purée,6
Chutney - spiced fruity,6
Chutney - tomato,6
Jam - Apricot,6
Beans - red kidney,6
Vinegar - white distilled,6
Tomato ketchup,6
Mustard - American,6
Mayonnaise,6
Gherkins - dill sliced,6
Tomato chopped,6
Chutney - onion,6
Paste - Chilli and Garlic,6
Paprika,5
Celery - seed,5
Cinnamon - ground,5
Onion powder,5
Rosemary - dried,5
Oregano - dried,5
Thyme - dried,5
Nutmeg,5
Juniper berries,5
Cloves - ground,5
Celery salt,5
Mustard powder,5
Stockcubes - beef,5
Stockcubes - vegetable,5
Sugar - icing,5
Sugar - light brown,5
Vinegar - cider,6
Walnut,5
Coffee - espresso powder,5
Porridge oats,5
Gravy browning,6
Baking powder,5
Jalapenos - red sliced,6
Jalepenos - green sliced,6
Mini bread rolls,1
Eggs - large,2
Beer,6
Garlic - peeled,3
Lettuce,3
Cabbage - red,3
Chillis - red serrano,3
Chillis - green serrano,3
Lime juice,6
Liquid AFS 3,6
Kitchen Roll,7
Wooden Fork,7
Wooden Spoon,7
Wooden Knife,7
6oz Paper Cup,7
Greaseproof Paper,7
Plates - kids,7
Plates - side,7
Plates - oval,7
Hand wipes,7
Blue gloves,9
Cling film,9
Tin foil,9
Vac pack bags - large,9
Vac pack bags - medium,9
Vac pack bags - small,9
Chocolate Brownie,10
Pecan Pie,10
Key Lime,10
Frankfurter,10
Chuck Mince,4
Beef ribs,4
Feather Steak,4
